"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"2",1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"7",1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"11",1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0
"15",1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"20",1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"24",1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0
"29",1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"33",1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"37",1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0
"40",1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0
